Toad,Date,Hour,Minute,Cycle,Easting,Northing
240,2010-06-25,1,17,night,552231.8,4713757.8
240,2010-06-25,18,24,day,552199.4,4713788.3
240,2010-06-26,10,1,day,552203.1,4713784
240,2010-06-27,1,56,night,552219.5,4713782.4
240,2010-06-27,22,38,night,552220.9,4713782.1
240,2010-06-27,,,day,552214.2,4713785.7
240,2010-06-28,10,24,day,552213,4713783.2
240,2010-06-29,3,30,night,552199,4713786.3
240,2010-06-29,,,day,552164.7,4713792.9
240,2010-06-30,1,39,night,552176.9,4713776.4
240,2010-06-30,8,28,day,552178,4713779
240,2010-07-01,17,36,day,552176.9,4713779.1
240,2010-07-02,4,28,night,552179,4713779
240,2010-07-02,17,42,day,552177.2,4713780.1
240,2010-07-03,8,43,day,552210.9,4713780.8
240,2010-07-04,1,38,night,552218.3,4713783.5
240,2010-07-04,9,43,day,552191,4713785.5
240,2010-07-05,4,39,night,552209.4,4713783.6
240,2010-07-05,8,53,day,552209.3,4713783.1
240,2010-07-06,0,48,night,552282.1,4713770.6
240,2010-07-06,18,22,day,552204.4,4713788.8
240,2010-07-07,1,12,night,552225.1,4713780.8
240,2010-07-23,0,15,night,552131.1,4713792.4
240,2010-07-23,9,17,day,552180.4,4713789.9
240,2010-08-11,23,0,night,552241.4,4713746.6
240,2010-08-12,19,55,day,552232.7,4713784.2
240,2010-08-13,11,52,day,552204.3,4713790.6
240,2010-08-14,2,35,night,552169.1,4713790.7
240,2010-08-14,18,2,day,552198.2,4713790.4
240,2010-08-15,2,27,night,552215.7,4713779.8
240,2010-08-15,13,4,day,552199,4713786.6
240,2010-08-16,13,0,day,552198.7,4713789
240,2010-08-17,3,9,night,552201.2,4713788.8
240,2010-08-18,3,3,night,552243.8,4713741.5
240,2010-08-18,19,51,day,552199.4,4713787.6
240,2010-08-19,1,35,night,552220.7,4713780
240,2010-08-19,20,3,day,552201.1,4713787.2
240,2010-08-20,1,29,night,552169.2,4713792.1
240,2010-08-20,20,15,day,552195.1,4713786.1
240,2010-08-20,23,31,night,552191.5,4713785.8
240,2010-08-22,18,18,day,552202.8,4713788
240,2010-08-23,3,34,night,552256,4713772.3
240,2010-08-23,16,48,day,552212.6,4713781.7
240,2010-08-24,0,6,night,552248.8,4713767.5
240,2010-08-24,19,17,day,552211.5,4713784.1
240,2010-08-25,0,50,night,552233.3,4713741.7
240,2010-08-25,14,23,day,552199.2,4713787.8
240,2010-08-26,16,2,day,552245.7,4713763.8
240,2010-08-27,0,11,night,552252.2,4713768
528,2010-06-24,23,29,night,550782.3,4714081.2
531,2010-06-24,23,39,night,551034.4,4714025
532,2010-06-24,23,45,night,551211,4713988
534,2010-06-24,23,58,night,551672.6,4713893.6
535,2010-06-25,0,20,night,551678.9,4713894.6
535,2010-06-25,17,43,day,551609,4713913.2
535,2010-06-26,9,38,day,551516.6,4713935.9
535,2010-06-27,2,12,night,551374,4713962.4
535,2010-06-28,0,45,night,550784.6,4714086.4
